|HIP 42913 |08 44 42.1973|-54 42 30.845| 1.93|
|HIP 31681 |06 37 42.7023|+16 23 57.893| 1.93|
|HIP 100751|20 25 38.8496|-56 44 05.571| 1.94|
|HIP 11767 |02 31 47.0753|+89 15 50.897| 1.97|
|HIP 30324 |06 22 41.9874|-17 57 21.300| 1.98|
|HIP 46390 |09 27 35.2518|-08 39 31.260| 1.99|
|HIP 9884  |02 07 10.2858|+23 27 45.999| 2.01|
|HIP 50583 |10 19 58.1617|+19 50 30.697| 2.01|
|HIP 3419  |00 43 35.2283|-17 59 12.063| 2.04|
|HIP 92855 |18 55 15.9167|-26 17 47.739| 2.05|
|HIP 68933 |14 06 41.3247|-36 22 07.305| 2.06|
|HIP 112122|22 42 39.9349|-46 53 04.437| 2.07|
|HIP 5447  |01 09 43.7976|+35 37 14.990| 2.07|
|HIP 677   |00 08 23.1680|+29 05 26.981| 2.07|
|HIP 27366 |05 47 45.3879|-09 40 10.567| 2.07|
|HIP 72607 |14 50 42.3954|+74 09 19.713| 2.07|
|HIP 86032 |17 34 56.0048|+12 33 38.073| 2.08|
|HIP 14576 |03 08 10.1297|+40 57 20.344| 2.09|
|HIP 9640  |02 03 53.9191|+42 19 47.454| 2.10|
|HIP 57632 |11 49 03.8783|+14 34 20.413| 2.14|
|HIP 4427  |00 56 42.5011|+60 43 00.299| 2.15|
|HIP 61932 |12 41 31.2050|-48 57 35.588| 2.20|
|HIP 45556 |09 17 05.4284|-59 16 30.940| 2.21|
|HIP 39429 |08 03 35.0701|-40 00 11.478| 2.21|
|HIP 76267 |15 34 41.1895|+26 42 53.677| 2.22|
|HIP 65378 |13 23 55.4198|+54 55 31.495| 2.23|
|HIP 100453|20 22 13.7000|+40 15 24.053| 2.23|
|HIP 44816 |09 07 59.7771|-43 25 57.447| 2.23|
|HIP 87833 |17 56 36.3779|+51 29 20.224| 2.24|
|HIP 3179  |00 40 30.3872|+56 32 14.673| 2.24|
|HIP 25930 |05 32 00.3997|-00 17 56.736| 2.25|
|HIP 746   |00 09 10.0897|+59 09 00.785| 2.28|
|HIP 78401 |16 00 20.0117|-22 37 17.833| 2.29|
|HIP 82396 |16 50 10.2450|-34 17 33.395| 2.29|
|HIP 66657 |13 39 53.2727|-53 27 58.906| 2.29|
|HIP 71860 |14 41 55.7738|-47 23 17.309| 2.30|
|HIP 71352 |14 35 30.4516|-42 09 27.884| 2.33|
|HIP 53910 |11 01 50.3908|+56 22 56.441| 2.34|
|HIP 72105 |14 44 59.2509|+27 04 27.026| 2.35|
|HIP 107315|21 44 11.1403|+09 52 30.028| 2.38|
|HIP 86670 |17 42 29.2798|-39 01 47.715| 2.39|
|HIP 2081  |00 26 16.8674|-42 18 18.439| 2.40|
|HIP 58001 |11 53 49.7413|+53 41 41.039| 2.41|
|HIP 84012 |17 10 22.6624|-15 43 30.531| 2.43|
|HIP 113881|23 03 46.3334|+28 04 56.837| 2.44|
|HIP 105199|21 18 34.5816|+62 35 07.639| 2.45|
|HIP 35904 |07 24 05.7050|-29 18 11.231| 2.45|
|HIP 45941 |09 22 06.8292|-55 00 38.503| 2.47|
|HIP 102488|20 46 12.4322|+33 58 10.032| 2.48|
|HIP 113963|23 04 45.6168|+15 12 19.324| 2.49|
|HIP 81377 |16 37 09.5300|-10 34 01.746| 2.54|
|HIP 14135 |03 02 16.7791|+04 05 23.731| 2.54|
|HIP 68002 |13 55 32.4349|-47 17 17.759| 2.55|
|HIP 54872 |11 14 06.4121|+20 31 26.522| 2.56|
|HIP 78820 |16 05 26.2349|-19 48 19.414| 2.56|
|HIP 59196 |12 08 21.5436|-50 43 20.676| 2.58|
|HIP 25985 |05 32 43.8139|-17 49 20.252| 2.58|
|HIP 59803 |12 15 48.4678|-17 32 31.141| 2.58|
|HIP 93506 |19 02 36.7234|-29 52 48.411| 2.60|
|HIP 74785 |15 17 00.4718|-09 22 58.321| 2.61|
|HIP 77070 |15 44 15.9958|+06 25 31.871| 2.63|
|HIP 8903  |01 54 38.3491|+20 48 29.878| 2.64|
|HIP 61359 |12 34 23.2341|-23 23 47.843| 2.65|
|HIP 28380 |05 59 43.2382|+37 12 45.951| 2.65|
|HIP 26634 |05 39 38.9399|-34 04 26.578| 2.65|
|HIP 6686  |01 25 48.6030|+60 14 07.452| 2.66|
|HIP 73273 |14 58 31.9541|-43 08 01.921| 2.68|
|HIP 67927 |13 54 41.1162|+18 23 54.915| 2.68|
|HIP 61585 |12 37 11.0837|-69 08 07.921| 2.69|
|HIP 52727 |10 46 46.1221|-49 25 12.451| 2.69|
|HIP 23015 |04 56 59.6162|+33 09 58.087| 2.69|
|HIP 85696 |17 30 45.8388|-37 17 44.665| 2.70|
|HIP 35264 |07 17 08.5642|-37 05 50.953| 2.71|
|HIP 97278 |19 46 15.5702|+10 36 47.767| 2.72|
|HIP 89931 |18 20 59.6216|-29 49 40.941| 2.72|
|HIP 79593 |16 14 20.7662|-03 41 38.312| 2.73|
|HIP 80331 |16 23 59.5069|+61 30 50.671| 2.73|
|HIP 61941 |12 41 40.0021|-01 26 58.280| 2.74|
|HIP 52419 |10 42 57.4267|-64 23 40.126| 2.74|
|HIP 65109 |13 20 36.0656|-36 42 43.492| 2.75|
|HIP 72622 |14 50 52.7773|-16 02 29.798| 2.75|
|HIP 26241 |05 35 25.9811|-05 54 35.639| 2.75|
|HIP 86742 |17 43 28.3769|+04 34 00.901| 2.76|
|HIP 84345 |17 14 38.8624|+14 23 24.911| 2.78|
|HIP 23875 |05 07 51.0340|-05 05 10.546| 2.78|
|HIP 80816 |16 30 13.2617|+21 29 22.735| 2.78|
|HIP 59747 |12 15 08.7570|-58 44 56.046| 2.79|
|HIP 85670 |17 30 25.9769|+52 18 04.892| 2.79|
|HIP 76297 |15 35 08.4604|-41 10 00.102| 2.80|
|HIP 81693 |16 41 17.4771|+31 36 06.793| 2.81|
|HIP 25606 |05 28 14.7263|-20 45 33.236| 2.81|
|HIP 2021  |00 25 39.2020|-77 15 18.126| 2.82|
|HIP 81266 |16 35 52.9594|-28 12 57.462| 2.82|
|HIP 90496 |18 27 58.2695|-25 25 16.490| 2.82|
|HIP 1067  |00 13 14.1500|+15 11 01.017| 2.83|
|HIP 39757 |08 07 32.7022|-24 18 15.972| 2.83|
|HIP 77952 |15 55 08.8080|-63 25 47.099| 2.83|
|HIP 85258 |17 25 17.9972|-55 31 47.366| 2.84|
|HIP 85792 |17 31 50.5216|-49 52 33.534| 2.84|
|HIP 18246 |03 54 07.9185|+31 53 01.168| 2.84|
|HIP 17702 |03 47 29.0642|+24 06 18.871| 2.85|
|HIP 63608 |13 02 10.7605|+10 57 32.767| 2.85|
|HIP 107556|21 47 02.2853|-16 07 35.637| 2.85|
|HIP 97165 |19 44 58.4421|+45 07 50.491| 2.86|
|HIP 9236  |01 58 45.8718|-61 34 11.728| 2.86|
|HIP 74946 |15 18 54.6888|-68 40 46.082| 2.87|
|HIP 30343 |06 22 57.5911|+22 30 49.861| 2.87|
|HIP 110130|22 18 30.1782|-60 15 34.181| 2.87|
|HIP 13847 |02 58 15.7156|-40 18 17.046| 2.88|
|HIP 94141 |19 09 45.8338|-21 01 24.691| 2.88|
|HIP 36188 |07 27 09.0723|+08 17 21.872| 2.89|
|HIP 63125 |12 56 01.8409|+38 19 05.686| 2.89|
|HIP 78265 |15 58 51.1207|-26 06 50.554| 2.89|
|HIP 106278|21 31 33.5207|-05 34 16.161| 2.90|
|HIP 80112 |16 21 11.3225|-25 35 33.909| 2.90|
|HIP 18532 |03 57 51.2211|+40 00 36.983| 2.90|
|HIP 14328 |03 04 47.7902|+53 30 23.221| 2.91|
|HIP 48002 |09 47 06.1376|-65 04 19.268| 2.92|
|HIP 112158|22 43 00.1286|+30 13 16.711| 2.93|
|HIP 60965 |12 29 51.9832|-16 30 54.338| 2.94|
|HIP 32768 |06 49 56.1368|-50 36 51.839| 2.94|
|HIP 109074|22 05 47.0253|-00 19 11.376| 2.95|
|HIP 47908 |09 45 51.1024|+23 46 27.401| 2.97|
|HIP 26451 |05 37 38.6843|+21 08 33.335| 2.97|
|HIP 18543 |03 58 01.7301|-13 30 29.681| 2.97|
|HIP 88635 |18 05 48.5246|-30 25 25.140| 2.98|
|HIP 64962 |13 18 55.2534|-23 10 17.085| 2.99|
|HIP 93747 |19 05 24.6124|+13 51 49.355| 2.99|
|HIP 87073 |17 47 35.0811|-40 07 37.135| 2.99|
|HIP 10064 |02 09 32.5209|+34 59 14.611| 3.00|
|HIP 54539 |11 09 39.8594|+44 29 54.792| 3.00|
|HIP 75097 |15 20 43.7492|+71 50 02.303| 3.00|
|HIP 82514 |16 51 52.2389|-38 02 50.378| 3.00|
|HIP 108085|21 53 55.6541|-37 21 53.362| 3.00|
|HIP 17358 |03 42 55.4821|+47 47 15.552| 3.01|
|HIP 30122 |06 20 18.7872|-30 03 48.156| 3.02|
|HIP 59316 |12 10 07.5259|-22 37 11.252| 3.02|
|HIP 33977 |07 03 01.4736|-23 49 59.885| 3.02|
|HIP 23416 |05 01 58.1340|+43 49 23.930| 3.03|
|HIP 62322 |12 46 16.8696|-68 06 29.139| 3.04|
|HIP 71075 |14 32 04.7578|+38 18 28.381| 3.04|
|HIP 100345|20 21 00.6464|-14 46 53.044| 3.05|
|HIP 95947 |19 30 43.2853|+27 57 34.901| 3.05|
|HIP 32246 |06 43 55.9298|+25 07 52.159| 3.06|
|HIP 50801 |10 22 19.8033|+41 29 57.961| 3.06|
|HIP 94376 |19 12 33.1550|+67 39 40.741| 3.07|
|HIP 89642 |18 17 37.7292|-36 45 40.612| 3.10|
|HIP 43813 |08 55 23.6848|+05 56 43.900| 3.11|
|HIP 52943 |10 49 37.4321|-16 11 38.875| 3.11|
|HIP 101772|20 37 33.9897|-47 17 29.985| 3.11|
|HIP 56561 |11 35 46.9283|-63 01 11.370| 3.11|
|HIP 84379 |17 15 01.9242|+24 50 22.515| 3.12|
|HIP 44127 |08 59 12.8387|+48 02 32.458| 3.12|
|HIP 83081 |16 58 37.2308|-55 59 24.198| 3.12|
|HIP 27628 |05 50 57.5528|-35 46 09.452| 3.12|
|HIP 73334 |14 59 09.6990|-42 06 14.911| 3.13|
|HIP 45860 |09 21 03.4588|+34 23 33.093| 3.14|
|HIP 84380 |17 15 02.8543|+36 48 32.959| 3.16|
|HIP 46701 |09 31 13.3538|-57 02 03.810| 3.16|
|HIP 46853 |09 32 52.3253|+51 40 42.967| 3.17|
|HIP 92041 |18 45 39.3530|-26 59 26.806| 3.17|
|HIP 83895 |17 08 47.2251|+65 42 52.692| 3.17|
|HIP 31685 |06 37 45.6717|-43 11 45.326| 3.17|
|HIP 23767 |05 06 30.8690|+41 14 04.707| 3.18|
|HIP 71908 |14 42 30.6850|-64 58 28.450| 3.18|
|HIP 83000 |16 57 40.2706|+09 22 30.203| 3.19|
|HIP 87261 |17 49 51.4512|-37 02 36.136| 3.19|
|HIP 22449 |04 49 50.1382|+06 57 40.491| 3.19|
|HIP 23685 |05 05 27.6521|-22 22 15.084| 3.19|
|HIP 104732|21 12 56.1815|+30 13 37.493| 3.21|
|HIP 116727|23 39 20.9820|+77 37 55.081| 3.21|
|HIP 75141 |15 21 22.3364|-40 38 50.854| 3.22|
|HIP 106032|21 28 39.5750|+70 33 38.501| 3.23|
|HIP 89962 |18 21 18.9206|-02 53 49.639| 3.23|
|HIP 79882 |16 18 19.2408|-04 41 33.389| 3.23|
|HIP 99473 |20 11 18.2648|-00 49 17.312| 3.24|
|HIP 32607 |06 48 11.5371|-61 56 31.128| 3.24|
|HIP 93194 |18 58 56.6246|+32 41 22.391| 3.25|
|HIP 68895 |14 06 22.2690|-26 40 55.268| 3.25|
|HIP 73714 |15 04 04.2619|-25 16 54.682| 3.25|
|HIP 36377 |07 29 13.8783|-43 18 06.809| 3.25|
|HIP 17678 |03 47 14.2315|-74 14 21.273| 3.26|
|HIP 113136|22 54 39.0392|-15 49 14.736| 3.27|
|HIP 3092  |00 39 19.5974|+30 51 40.413| 3.27|
|HIP 84970 |17 22 00.5841|-24 59 58.157| 3.27|
|HIP 24305 |05 12 55.8731|-16 12 19.544| 3.29|
|HIP 75458 |15 24 55.7841|+58 57 57.685| 3.29|
|HIP 50099 |10 13 44.2789|-70 02 16.518| 3.29|
|HIP 51576 |10 32 01.4838|-61 41 07.297| 3.30|
|HIP 21281 |04 33 59.7184|-55 02 42.020| 3.30|
|HIP 29655 |06 14 52.6967|+22 30 24.566| 3.31|
|HIP 85267 |17 25 23.6599|-56 22 39.678| 3.31|
|HIP 59774 |12 15 25.4491|+57 01 57.353| 3.32|
|HIP 5165  |01 06 05.1065|-46 43 06.566| 3.32|
|HIP 93864 |19 06 56.4423|-27 40 11.331| 3.32|
|HIP 88048 |17 59 01.5976|-09 46 24.059| 3.32|
|HIP 84143 |17 12 09.1759|-43 14 18.565| 3.32|
|HIP 14354 |03 05 10.4970|+38 50 25.919| 3.32|
|HIP 54879 |11 14 14.4409|+15 25 47.147| 3.33|
|HIP 19780 |04 14 25.4311|-62 28 26.324| 3.33|
|HIP 38170 |07 49 17.6587|-24 51 35.222| 3.34|
|HIP 41704 |08 30 16.0302|+60 43 06.352| 3.35|
|HIP 32362 |06 45 17.4336|+12 53 45.798| 3.35|
|HIP 25281 |05 24 28.6171|-02 23 49.698| 3.35|
|HIP 8886  |01 54 23.6835|+63 40 12.529| 3.35|
|HIP 95501 |19 25 29.7527|+03 06 52.485| 3.36|
|HIP 75264 |15 22 40.8875|-44 41 22.463| 3.37|
|HIP 43109 |08 46 46.6462|+06 25 08.065| 3.38|
|HIP 66249 |13 34 41.7547|-00 35 45.378| 3.38|
|HIP 63090 |12 55 36.4833|+03 23 51.355| 3.39|
|HIP 109492|22 10 51.2619|+58 12 04.500| 3.39|
|HIP 26207 |05 35 08.2777|+09 56 02.987| 3.39|
|HIP 50371 |10 17 05.0053|-61 19 56.351| 3.39|
|HIP 20894 |04 28 39.6749|+15 52 15.408| 3.40|
|HIP 112029|22 41 27.6748|+10 49 53.008| 3.41|
|HIP 74395 |15 12 17.2032|-52 05 56.669| 3.41|
|HIP 102422|20 45 17.2686|+61 50 12.459| 3.41|
|HIP 18724 |04 00 40.8206|+12 29 25.353| 3.41|
|HIP 67464 |13 49 30.2974|-41 41 15.575| 3.41|
|HIP 6867  |01 28 21.9417|-43 19 03.825| 3.41|
|HIP 86974 |17 46 27.7189|+27 43 20.997| 3.42|
|HIP 102395|20 44 57.5557|-66 12 11.658| 3.42|
|HIP 78384 |16 00 07.3405|-38 23 47.907| 3.42|
|HIP 8796  |01 53 04.8998|+29 34 45.830| 3.42|
|HIP 45080 |09 10 58.1053|-58 58 00.949| 3.43|
|HIP 50335 |10 16 41.4043|+23 25 02.382| 3.43|
|HIP 93805 |19 06 14.9499|-04 52 56.404| 3.43|
|HIP 50372 |10 17 05.9270|+42 54 52.087| 3.45|
|HIP 38827 |07 56 46.7417|-52 58 56.642| 3.46|
|HIP 74666 |15 15 30.1038|+33 18 54.368| 3.46|
|HIP 3821  |00 49 05.1006|+57 48 59.572| 3.46|
|HIP 5364  |01 08 35.2637|-10 10 54.941| 3.46|
|HIP 67472 |13 49 37.0078|-42 28 25.266| 3.47|
|HIP 12706 |02 43 18.1246|+03 14 10.218| 3.47|
|HIP 49583 |10 07 19.9535|+16 45 45.597| 3.48|
|HIP 81833 |16 42 53.7386|+38 55 20.860| 3.48|
|HIP 55219 |11 18 28.7553|+33 05 39.260| 3.49|
|HIP 33856 |07 01 43.1517|-27 56 05.430| 3.49|
|HIP 8102  |01 44 05.1275|-15 56 22.401| 3.49|
|HIP 90422 |18 26 58.4303|-45 58 05.985| 3.49|
|HIP 73555 |15 01 56.7931|+40 23 26.292| 3.49|
|HIP 112623|22 48 33.1971|-51 19 00.133| 3.49|
|HIP 112724|22 49 40.9122|+66 12 02.559| 3.50|
|HIP 32759 |06 49 50.4655|-32 30 30.555| 3.50|
|HIP 35550 |07 20 07.3893|+21 58 56.422| 3.50|
|HIP 112748|22 50 00.1003|+24 36 06.065| 3.51|
|HIP 98337 |19 58 45.3876|+19 29 31.534| 3.51|
|HIP 109427|22 10 11.8198|+06 11 52.040| 3.52|
|HIP 48774 |09 56 51.7548|-54 34 04.070| 3.52|
|HIP 92420 |18 50 04.7939|+33 21 45.640| 3.52|
|HIP 47508 |09 41 09.1179|+09 53 32.636| 3.52|
|HIP 93085 |18 57 43.7797|-21 06 23.848| 3.52|
|HIP 17378 |03 43 14.9561|-09 45 54.715| 3.52|
|HIP 40526 |08 16 30.9482|+09 11 08.387| 3.53|
|HIP 20889 |04 28 36.9333|+19 10 49.875| 3.53|
|HIP 56343 |11 33 00.2590|-31 51 27.087| 3.54|
|HIP 77516 |15 49 37.2657|-03 25 48.508| 3.54|
|HIP 86263 |17 37 35.2252|-15 23 54.270| 3.54|
|HIP 27288 |05 46 57.3497|-14 49 19.010| 3.55|
|HIP 99240 |20 08 41.8601|-66 10 45.556| 3.55|
|HIP 69996 |14 19 24.2327|-46 03 29.102| 3.55|
|HIP 89937 |18 21 02.3390|+72 44 01.311| 3.55|
|HIP 20042 |04 17 53.6186|-33 47 53.993| 3.55|
|HIP 55282 |11 19 20.5226|-14 46 44.557| 3.56|
|HIP 1562  |00 19 25.6830|-08 49 25.786| 3.56|
|HIP 82545 |16 52 20.1535|-38 01 02.920| 3.56|
|HIP 10602 |02 16 30.5003|-51 30 43.601| 3.56|
|HIP 44471 |09 03 37.5588|+47 09 23.974| 3.57|
|HIP 71053 |14 31 49.8578|+30 22 16.122| 3.57|
|HIP 75177 |15 21 48.4365|-36 15 40.202| 3.57|
|HIP 37740 |07 44 26.8686|+24 23 53.265| 3.57|
|HIP 100064|20 18 03.2185|-12 32 41.492| 3.58|
|HIP 35350 |07 18 05.6068|+16 32 25.711| 3.58|
|HIP 7607  |01 37 59.5024|+48 37 42.551| 3.59|
|HIP 57757 |11 50 41.2861|+01 45 55.357| 3.59|
|HIP 24674 |05 17 36.3989|-06 50 39.790| 3.59|
|HIP 60260 |12 21 21.8113|-60 24 04.932| 3.59|
|HIP 27072 |05 44 27.9750|-22 26 50.952| 3.59|
|HIP 42536 |08 40 17.6092|-52 55 19.101| 3.60|
|HIP 46651 |09 30 42.1130|-40 28 00.795| 3.60|
|HIP 76470 |15 37 01.4586|-28 08 06.256| 3.60|
|HIP 6537  |01 24 01.4512|-08 10 57.913| 3.60|
|HIP 85727 |17 31 05.9769|-60 41 00.984| 3.60|
|HIP 33018 |06 52 47.3401|+33 57 40.931| 3.60|
|HIP 86929 |17 45 44.0024|-64 43 25.444| 3.61|
|HIP 13209 |02 49 58.9894|+27 15 38.846| 3.61|
|HIP 49841 |10 10 35.3971|-12 21 13.821| 3.61|
|HIP 63613 |13 02 15.7775|-71 32 55.675| 3.61|
|HIP 15900 |03 24 48.8376|+09 01 44.634| 3.61|
|HIP 17847 |03 49 09.7312|+24 03 12.687| 3.62|
|HIP 82729 |16 54 35.1052|-42 21 38.733| 3.62|
|HIP 113726|23 01 55.2465|+42 19 33.523| 3.62|
|HIP 37819 |07 45 15.3039|-37 58 06.955| 3.62|
|HIP 7097  |01 31 28.9939|+15 20 44.992| 3.62|
|HIP 57363 |11 45 36.5673|-66 43 43.836| 3.63|
|HIP 101769|20 37 32.8698|+14 35 42.730| 3.64|
|HIP 110960|22 28 49.8006|-00 01 12.227| 3.65|
|HIP 77233 |15 46 11.2149|+15 25 18.934| 3.65|
|HIP 88714 |18 06 37.8788|-50 05 29.237| 3.65|
|HIP 20205 |04 19 47.5339|+15 37 39.721| 3.65|
|HIP 46733 |09 31 31.5697|+63 03 42.464| 3.65|
|HIP 76600 |15 38 39.3844|-29 46 39.682| 3.66|
|HIP 75695 |15 27 49.8519|+29 06 19.770| 3.66|
|HIP 68756 |14 04 23.4260|+64 22 32.911| 3.67|
|HIP 103227|20 54 48.5796|-58 27 14.741| 3.67|
|HIP 42828 |08 43 35.5475|-33 11 11.081| 3.68|
|HIP 97365 |19 47 23.2652|+18 32 03.333| 3.68|
|HIP 114341|23 09 26.7621|-21 10 20.948| 3.68|
|HIP 22549 |04 51 12.3660|+05 36 18.365| 3.68|
|HIP 2920  |00 36 58.2670|+53 53 48.954| 3.69|
|HIP 106985|21 40 05.3422|-16 39 44.112| 3.69|
|HIP 47854 |09 45 14.8276|-62 30 28.524| 3.69|
|HIP 57399 |11 46 03.1341|+47 46 45.613| 3.69|
|HIP 9007  |01 55 56.8325|-51 36 34.512| 3.69|
|HIP 23453 |05 02 28.6801|+41 04 33.202| 3.69|
|HIP 87933 |17 57 45.8307|+29 14 52.531| 3.70|
|HIP 15474 |03 19 30.9697|-21 45 28.592| 3.70|
|HIP 114971|23 17 09.4936|+03 16 56.083| 3.70|
|HIP 88771 |18 07 21.0207|+09 33 49.152| 3.71|
|HIP 38414 |07 52 13.0455|-40 34 32.876| 3.71|
|HIP 98036 |19 55 18.7662|+06 24 28.560| 3.71|
|HIP 28103 |05 56 24.3183|-14 10 04.937| 3.71|
|HIP 22797 |04 54 15.0956|+02 26 26.417| 3.71|
|HIP 77622 |15 50 48.8912|+04 28 39.287| 3.71|
|HIP 17499 |03 44 52.5235|+24 06 48.414| 3.72|
|HIP 16537 |03 32 56.4216|-09 27 29.901| 3.72|
|HIP 104060|21 04 55.8558|+43 55 40.264| 3.72|
|HIP 28358 |05 59 31.5503|+54 17 05.935| 3.72|
|HIP 87585 |17 53 31.6295|+56 52 20.828| 3.73|
|HIP 107089|21 41 28.4731|-77 23 22.064| 3.73|
|HIP 16083 |03 27 10.1209|+09 43 57.981| 3.73|
|HIP 72220 |14 46 14.9918|+01 53 34.578| 3.73|
|HIP 112961|22 52 36.8645|-07 34 46.844| 3.73|
|HIP 8645  |01 51 27.6106|-10 20 05.803| 3.74|
|HIP 104887|21 14 47.3466|+38 02 39.554| 3.74|
|HIP 80170 |16 21 55.2437|+19 09 10.879| 3.74|
|HIP 87108 |17 47 53.5740|+02 42 26.851| 3.75|
|HIP 44511 |09 04 09.3205|-47 05 51.770| 3.75|
|HIP 95853 |19 29 42.3393|+51 43 46.083| 3.76|
|HIP 93683 |19 04 40.9338|-21 44 28.876| 3.76|
|HIP 26069 |05 33 37.5164|-62 29 23.481| 3.76|
|HIP 30867 |06 28 49.0741|-07 01 58.982| 3.76|
|HIP 111169|22 31 17.3758|+50 16 56.819| 3.76|
|HIP 27654 |05 51 19.1528|-20 52 39.050| 3.76|
|HIP 101958|20 39 38.2545|+15 54 43.390| 3.77|
|HIP 42570 |08 40 37.5753|-46 38 55.518| 3.77|
|HIP 82363 |16 49 47.1114|-59 02 28.739| 3.77|
|HIP 109176|22 07 00.4745|+25 20 42.166| 3.77|
|HIP 41312 |08 25 44.2462|-66 08 11.474| 3.77|
|HIP 26549 |05 38 44.7653|-02 36 00.244| 3.77|
|HIP 17529 |03 45 11.6434|+42 34 42.760| 3.77|
|HIP 13268 |02 50 41.7928|+55 53 43.906| 3.77|
|HIP 105881|21 26 40.0277|-22 24 40.962| 3.77|
|HIP 20455 |04 22 56.0273|+17 32 33.303| 3.77|
|HIP 102618|20 47 40.5326|-09 29 44.484| 3.78|
|HIP 36046 |07 25 43.6761|+27 47 53.828| 3.78|
|HIP 53253 |10 53 29.5662|-58 51 11.753| 3.78|
|HIP 48319 |09 50 59.6917|+59 02 20.776| 3.78|
|HIP 34481 |07 08 44.8245|-70 29 57.100| 3.78|
|HIP 71795 |14 41 08.9204|+13 43 41.992| 3.78|
|HIP 53229 |10 53 18.6399|+34 12 56.039| 3.79|
|HIP 14668 |03 09 29.6291|+44 51 28.400| 3.79|
|HIP 55203 |11 18 11.2400|+31 31 50.800| 3.79|
|HIP 14879 |03 12 04.2800|-28 59 20.782| 3.80|
|HIP 99675 |20 13 37.9027|+46 44 28.767| 3.80|
|HIP 37229 |07 38 49.8813|-26 48 14.013| 3.80|
|HIP 94779 |19 17 06.1099|+53 22 05.378| 3.80|
|HIP 76276 |15 34 48.1902|+10 32 19.893| 3.80|
|HIP 116584|23 37 33.7077|+46 27 33.034| 3.81|
|HIP 76952 |15 42 44.6382|+26 17 43.851| 3.81|
|HIP 51232 |10 27 52.7451|-58 44 21.871| 3.81|
|HIP 21393 |04 35 33.0717|-30 33 44.318| 3.81|
|HIP 45688 |09 18 50.6673|+36 48 10.431| 3.82|
|HIP 56211 |11 31 24.2885|+69 19 52.038| 3.82|
|HIP 80883 |16 30 54.8412|+01 59 02.762| 3.82|
|HIP 9487  |02 02 02.8006|+02 45 49.538| 3.82|
|HIP 86414 |17 39 27.8924|+46 00 22.760| 3.82|
|HIP 51069 |10 26 05.5050|-16 50 09.945| 3.83|
|HIP 68245 |13 58 16.2847|-42 06 02.539| 3.83|
|HIP 72370 |14 47 51.7262|-79 02 40.965| 3.83|
|HIP 20885 |04 28 34.4323|+15 57 43.982| 3.84|
|HIP 51624 |10 32 48.6751|+09 18 23.740| 3.84|
